monthly_income,phone_bill_paid_on_time,electricity_usage,num_apps_installed,social_media_hours,upi_txn_count,sms_notifs,location_cluster,creditworthy
25795,1,356,103,6.2,14,13,2,0
10860,0,669,105,2.0,39,13,2,0
86820,0,991,17,4.0,11,4,1,0
64886,0,626,73,0.4,21,17,1,0
16265,0,261,147,4.8,21,13,0,0
92386,0,262,47,5.4,49,1,1,0
47194,0,931,120,2.3,46,11,1,0
97498,1,892,121,9.6,16,5,1,1
54131,1,891,90,9.1,28,3,0,1
70263,1,623,145,7.2,45,12,1,1
26023,1,885,113,5.3,13,3,0,0
51090,0,370,162,8.7,49,13,2,0
77221,0,591,82,1.3,19,15,1,0
74820,1,307,187,7.9,49,3,0,1
10769,0,638,58,1.2,47,0,1,0
69735,1,683,45,7.9,32,12,2,1
72955,1,159,135,2.8,42,3,0,1
74925,1,529,77,8.8,14,19,0,1
77969,0,756,87,9.4,11,17,0,0
15311,1,704,114,1.5,39,5,2,0
93104,1,408,178,4.6,19,2,2,1
63707,1,619,131,9.8,29,12,2,1
95305,0,690,128,4.8,37,15,0,0
38693,0,126,199,8.6,2,4,2,0
81932,1,785,123,5.9,27,3,1,1
35658,0,661,19,3.8,25,7,2,0
94478,0,298,158,2.9,29,18,0,0
28431,0,486,173,2.0,12,13,1,0
12747,0,448,149,7.6,12,6,2,0
69150,0,792,100,3.9,1,13,1,0
75725,0,635,11,5.1,36,5,1,0
94654,0,927,127,4.9,48,11,0,0
45773,0,477,22,5.8,37,15,1,0
77435,0,998,190,8.7,1,16,1,0
66886,0,657,169,9.8,35,12,0,0
76803,1,626,104,4.1,25,13,0,1
41551,1,252,153,8.3,10,6,0,1
21394,0,833,41,7.6,7,13,1,0
79092,1,305,41,5.7,43,14,1,1
13890,1,554,133,9.6,39,11,1,0
51606,0,372,20,2.0,42,16,0,0
90038,0,993,19,1.1,21,8,2,0
97313,0,335,24,8.5,19,14,1,0
20627,1,951,26,4.4,7,11,2,0
18792,1,839,177,8.5,28,1,0,0
